PolicyNum,Year,Premium,Deduct,BCcov,Freq,Fire5,NoClaimCredit,EntityType,AlarmCredit,BCClaim
120012,2009,222048,500.0,584335432.0,19,1,0,3,4,157402.17
120012,2010,222052,500.0,569366096.0,19,1,0,3,4,83934.7
120013,2006,63796,500.0,127590738.0,3,0,0,3,4,20169.21
120013,2007,55347,500.0,138368204.0,6,0,0,3,4,13101.99
120013,2008,59665,500.0,145526388.0,4,0,0,3,4,41266.18
120013,2009,62636,500.0,152772888.0,0,0,0,3,4,0.0
120013,2010,58869,500.0,163526511.0,5,0,0,3,4,63529.9
120015,2006,43760,1000.0,84154470.0,10,1,0,3,4,194133.31
120015,2007,42497,1000.0,92383555.0,8,1,0,3,4,26819.98
120015,2008,41638,1000.0,96832364.0,9,1,0,3,4,52866.97
120015,2009,43605,1000.0,101407523.0,6,1,0,3,4,36411.4
120015,2010,38657,1000.0,107382645.0,11,1,0,3,4,38117.45
120017,2006,25733,5000.0,67719951.0,5,1,0,3,1,970.9
120017,2007,21816,5000.0,72719899.0,8,1,0,3,1,52342.26
120017,2008,22907,5000.0,71582224.0,8,1,0,3,4,5018.22
120017,2009,23997,5000.0,74992679.0,5,1,0,3,4,886.95
120017,2010,22321,5000.0,79719144.0,7,1,0,3,4,9131.7
120018,2006,51823,5000.0,101613238.0,0,1,0,3,4,0.0
120018,2007,48858,5000.0,108575007.0,1,1,0,3,4,44628.76
120018,2008,44785,5000.0,114830450.0,1,1,0,3,4,146083.94
120018,2009,49863,5000.0,121617722.0,2,1,0,3,4,117967.96
120018,2010,39301,5000.0,115589417.0,1,1,0,3,4,9648.62
120021,2006,12923,2500.0,23930241.0,0,0,0,3,1,0.0
120021,2007,11573,2500.0,25716292.0,0,0,0,3,1,0.0
120021,2008,12135,2500.0,28220772.0,0,0,1,3,4,0.0
120021,2009,13031,2500.0,29615734.0,1,0,1,3,4,5451.19
120021,2010,10707,2500.0,31490661.0,2,0,0,3,4,10989.35
120022,2006,14410,500.0,22168794.0,6,0,0,3,4,52282.21
120022,2007,13081,500.0,23783332.0,1,0,0,3,4,4500.0
120022,2008,13172,500.0,24852080.0,0,0,0,3,4,0.0
120022,2009,13839,500.0,26110607.0,1,0,0,3,4,2440.21
120022,2010,12937,500.0,27525078.0,0,0,0,3,4,0.0
120023,2006,19602,1000.0,44549513.0,0,1,0,3,3,0.0
120023,2007,17714,1000.0,47874105.0,2,1,0,3,3,55591.69
120023,2008,19695,1000.0,50498835.0,2,1,0,3,3,57080.39
120023,2009,19622,1000.0,51635317.0,0,1,0,3,3,0.0
120023,2010,21036,1000.0,65739367.0,2,1,0,3,4,16424.49
120024,2009,10679,10000.0,23731498.0,4,0,0,3,1,5432.29
120024,2010,14285,5000.0,34840494.0,0,0,0,3,4,0.0
120025,2006,27169,500.0,46048119.0,3,1,0,3,1,14327.12
120025,2007,24617,500.0,49233619.0,0,1,0,3,4,0.0
120025,2008,26474,500.0,51909998.0,2,1,0,3,4,624.85
120025,2009,28854,500.0,54441728.0,1,1,0,3,4,376255.81
120025,2010,29045,500.0,64542605.0,3,1,0,3,4,11391.53
120026,2006,46950,500.0,66127182.0,5,0,0,3,4,12048.91
120026,2007,35682,2500.0,71365462.0,4,0,0,3,4,16487.11
120026,2008,36277,2500.0,75576654.0,7,0,0,3,4,90932.6
120026,2009,38790,2500.0,79162253.0,4,0,0,3,4,6636.19
120026,2010,34851,2500.0,85003637.0,2,0,0,3,4,70561.27
120027,2006,13196,5000.0,21634190.0,0,0,0,3,1,0.0
120027,2007,11232,5000.0,23402531.0,0,0,0,3,1,0.0
120027,2008,11550,5000.0,25108004.0,1,0,1,3,1,174518.44
120027,2009,12595,5000.0,26238226.0,0,0,0,3,2,0.0
120027,2010,13811,5000.0,32882702.0,0,0,0,3,4,0.0
120028,2006,77808,5000.0,169148795.0,2,1,0,3,4,22015.0
120028,2007,63540,5000.0,186884087.0,0,1,0,3,4,0.0
120028,2008,65722,5000.0,193302920.0,0,1,0,3,4,0.0
120028,2009,66750,5000.0,196322125.0,1,1,1,3,4,12875.0
120028,2010,60774,5000.0,209567808.0,1,1,0,3,4,66931.96
120029,2009,13261,10000.0,41440541.0,0,1,0,3,1,0.0
120029,2010,11950,5000.0,51956716.0,7,1,0,3,4,32828.12
120030,2006,383297,50000.0,1916482297.0,100,1,0,3,4,5047367.54
120030,2007,373359,50000.0,2074216536.0,157,1,0,3,4,1855679.59
120030,2008,393150,50000.0,2184168823.0,67,1,0,3,4,1459481.92
120030,2009,412328,50000.0,2290709661.0,228,1,0,3,4,2160411.07
120030,2010,391168,50000.0,2444796980.0,103,1,0,3,4,4920530.65
120032,2006,11366,1000.0,28416083.0,1,1,0,3,1,19714.09
120032,2007,10385,1000.0,30544157.0,0,1,0,3,1,0.0
120032,2008,10752,1000.0,32580637.0,2,1,0,3,1,5366.77
120032,2009,10845,1000.0,33890716.0,2,1,0,3,1,30722.54
120032,2010,10223,1000.0,36511265.0,1,1,0,3,4,2601.5
120033,2006,48961,2500.0,119417636.0,0,1,0,3,4,0.0
120033,2007,47653,2500.0,128793300.0,0,1,0,3,4,0.0
120033,2008,49153,2500.0,136537216.0,1,1,1,3,4,38568.02
120033,2009,50842,2500.0,141228192.0,1,1,0,3,4,8720.69
120033,2010,47683,2500.0,153815190.0,1,1,0,3,4,7536.73
120036,2006,69839,500.0,101216134.0,8,1,0,3,4,58004.7
120036,2007,67368,500.0,106932849.0,4,1,0,3,4,25819.98
120036,2008,68275,500.0,111927379.0,5,1,0,3,4,15195.01
120036,2009,62050,500.0,101721302.0,1,1,0,3,4,1185.9
120036,2010,47931,500.0,97819792.0,4,1,0,3,4,24862.73
120038,2006,113744,2500.0,206808178.0,5,1,0,3,4,29527.79
120038,2007,106992,2500.0,227642315.0,3,1,0,3,4,12959.55
120038,2008,98505,5000.0,240254975.0,3,1,0,3,4,32625.15
120038,2009,105370,5000.0,250878875.0,0,1,0,3,4,0.0
120038,2010,93980,5000.0,268515327.0,6,1,0,3,4,69066.78
120039,2006,12435,500.0,19130207.0,0,1,0,3,1,0.0
120039,2007,12118,500.0,20539436.0,2,1,0,3,4,6975.6
120039,2008,17805,500.0,30179731.0,3,1,0,3,4,16067.38
120039,2009,19067,500.0,31778548.0,1,1,0,3,4,64066.0
120039,2010,18563,500.0,33752361.0,2,1,0,3,4,20007.73
120040,2006,24620,25000.0,79422226.0,0,1,0,3,4,0.0
120040,2007,23904,25000.0,85374565.0,0,1,0,3,4,0.0
120040,2008,24254,25000.0,93283811.0,2,1,1,3,4,5942.35
120040,2009,24475,25000.0,97896606.0,1,1,0,3,4,1858.13
120040,2010,22939,25000.0,104265872.0,1,1,0,3,4,2117.43
120042,2009,20442,10000.0,38569210.0,2,0,0,3,3,1923.3
120042,2010,24102,10000.0,65140348.0,1,0,0,3,4,623.0
120043,2006,20832,2500.0,43399520.0,0,1,0,3,4,0.0
120043,2007,18773,2500.0,46932258.0,2,1,0,3,4,3065.95
120043,2008,20822,2500.0,50786447.0,1,1,0,3,4,29398.15
120043,2009,19662,5000.0,53141137.0,2,1,0,3,4,17489.69
120043,2010,16280,5000.0,58142676.0,2,1,0,3,4,592.26
120044,2006,156096,500.0,177382307.0,2,1,0,3,4,9623.05
120044,2007,115936,500.0,186995079.0,1,1,0,3,4,2629.0
120044,2008,114802,500.0,197934829.0,6,1,0,3,4,47803.42
120044,2009,121499,500.0,209480521.0,5,1,0,3,4,6892.8
120044,2010,99097,1000.0,230458677.0,2,1,0,3,4,12602.85
120046,2006,22638,1000.0,29023426.0,2,0,0,3,4,1749.09
120046,2007,21385,1000.0,31449321.0,0,0,0,3,4,0.0
120046,2008,21450,1000.0,33001591.0,2,0,0,3,4,16476.89
120046,2009,22292,1000.0,35954269.0,1,0,0,3,4,2504.0
120046,2010,23988,1000.0,39325942.0,6,0,0,3,4,25175.55
120047,2006,25563,500.0,39328623.0,3,1,0,3,1,12009.72
120047,2007,26577,500.0,45823417.0,5,1,0,3,1,14334.42
120047,2008,27631,500.0,48473634.0,1,1,0,3,1,2922.71
120047,2009,32675,500.0,57325345.0,1,1,0,3,4,72336.83
120047,2010,41840,500.0,80463176.0,1,1,0,3,4,2825.0
120048,2006,29344,1000.0,63790723.0,3,1,0,3,4,3581.91
120048,2007,27960,1000.0,68195979.0,2,1,0,3,4,4147.54
120048,2008,29900,1000.0,74752051.0,1,1,0,3,4,1039.0
120048,2009,29324,1000.0,79251905.0,0,1,0,3,4,0.0
120048,2010,25507,1000.0,77295427.0,3,1,0,3,4,66224.39
120049,2006,34156,1000.0,65683842.0,2,1,0,3,1,10501.12
120049,2007,28689,1000.0,69974850.0,2,1,0,3,1,146554.24
120049,2008,31593,1000.0,75221199.0,2,1,0,3,1,5661.0
120049,2009,33081,1000.0,80686093.0,4,1,0,3,4,7423.81
120049,2010,26928,1000.0,74801112.0,4,1,0,3,4,1297.0
120050,2006,14987,1000.0,23790966.0,1,1,0,3,1,6337.15
120050,2007,12952,1000.0,24907948.0,0,1,0,3,1,0.0
120050,2008,12566,1000.0,27318222.0,2,1,0,3,1,18265.27
120050,2009,12117,1000.0,30293979.0,1,1,0,3,1,9102.19
120050,2010,11525,1000.0,29552442.0,1,1,0,3,4,10484.62
120051,2006,30505,25000.0,152524099.0,0,1,0,3,4,0.0
120051,2007,30623,25000.0,180137767.0,1,1,0,3,4,134128.98
120051,2008,32640,25000.0,217590806.0,0,1,0,3,4,0.0
120051,2009,34167,25000.0,227789226.0,1,1,0,3,4,159109.46
120051,2010,31505,25000.0,242337759.0,0,1,0,3,4,0.0
120053,2006,65956,2500.0,183213153.0,1,1,0,3,4,4837.23
120053,2007,59143,2500.0,184822080.0,4,1,0,3,4,108986.45
120053,2008,65986,2500.0,194077742.0,1,1,0,3,4,3625.0
120053,2009,52240,2500.0,208957606.0,4,1,0,3,4,81100.67
120053,2010,54065,2500.0,200242867.0,4,1,0,3,4,75831.34
120054,2006,20770,2500.0,45151836.0,0,1,0,3,1,0.0
120054,2007,19428,2500.0,47385365.0,2,1,0,3,1,108211.19
120054,2008,21980,2500.0,49955675.0,3,1,0,3,1,22958.39
120054,2009,19696,2500.0,53232224.0,0,1,0,3,1,0.0
120054,2010,21263,2500.0,53157029.0,0,1,0,3,4,0.0
120056,2006,22903,25000.0,99580601.0,3,1,0,3,4,4923.36
120056,2007,33737,5000.0,108828869.0,1,1,0,3,4,2720.0
120056,2008,24168,25000.0,115085753.0,2,1,0,3,4,25449.0
120056,2009,22864,25000.0,120336302.0,1,1,0,3,4,28884.85
120056,2010,23116,25000.0,144478083.0,3,1,0,3,4,21693.98
120057,2006,14498,500.0,19075113.0,4,0,0,3,4,11879.36
120057,2007,13989,500.0,19984027.0,1,0,0,3,4,1547.78
120057,2008,14130,500.0,21090566.0,1,0,0,3,4,18623.05
120057,2009,12667,500.0,22619188.0,2,0,0,3,4,548.95
120057,2010,13424,500.0,22005694.0,2,0,0,3,4,9378.5
120058,2006,27157,75000.0,208900636.0,8,1,0,3,4,34036.45
120058,2007,22193,75000.0,221936225.0,8,1,0,3,4,48697.0
120058,2008,24348,75000.0,221340135.0,10,1,0,3,4,61508.72
120058,2009,23523,75000.0,235228659.0,11,1,0,3,4,61690.48
120058,2010,17952,75000.0,224399640.0,6,1,0,3,4,18550.83
120059,2009,27964,2500.0,34955567.0,0,0,0,3,1,0.0
120059,2010,40324,2500.0,60184992.0,5,0,0,3,4,62146.01
120060,2006,19459,500.0,36036574.0,1,0,0,3,4,851.0
120060,2007,19793,500.0,38809840.0,4,0,0,3,4,30496.93
120060,2008,22474,500.0,40861512.0,3,0,0,3,4,5455.1
120060,2009,23705,500.0,43098531.0,2,0,0,3,4,5702.78
120060,2010,21475,500.0,45691908.0,2,0,0,3,4,12695.39
120063,2006,15036,1000.0,32686408.0,0,1,0,3,1,0.0
120063,2007,16329,1000.0,34742689.0,2,1,0,3,4,94077.17
120063,2008,15828,1000.0,37687253.0,1,1,0,3,4,2930.0
120063,2009,17141,1000.0,41806927.0,0,1,0,3,4,0.0
120063,2010,19212,1000.0,43664548.0,4,1,0,3,4,10552.35
120064,2006,7720,500.0,13542984.0,0,0,0,3,4,0.0
120064,2007,7325,500.0,14948471.0,1,0,0,3,4,849.83
120064,2008,6683,500.0,15911999.0,1,0,0,3,4,3409.94
120064,2009,7634,500.0,16596770.0,0,0,0,3,4,0.0
120064,2010,7045,500.0,17610933.0,0,0,0,3,4,0.0
120065,2009,13711,10000.0,24928525.0,0,1,0,3,4,0.0
120065,2010,22431,10000.0,48765148.0,3,1,0,3,4,9195.44
120067,2006,154639,500.0,262098980.0,14,1,0,3,1,135885.44
120067,2007,173428,500.0,321162903.0,18,1,0,3,4,180773.78
120067,2008,131832,5000.0,338030103.0,14,1,0,3,4,97481.3
120067,2009,139166,5000.0,356837467.0,18,1,0,3,4,75109.39
120067,2010,122358,5000.0,382369780.0,17,1,0,3,4,123063.63
120069,2006,81842,10000.0,209851398.0,2,1,0,3,4,30394.32
120069,2007,76779,10000.0,225820073.0,0,1,0,3,4,0.0
120069,2008,75954,10000.0,237356875.0,2,1,0,3,4,19705.77
120069,2009,78128,10000.0,260427944.0,0,1,0,3,4,0.0
120069,2010,74525,10000.0,276018058.0,1,1,0,3,4,18575.14
120070,2009,29042,25000.0,76425407.0,12,1,0,3,4,24806.58
120070,2010,26192,25000.0,119052956.0,9,1,0,3,4,12969.4
120072,2006,48015,500.0,81379631.0,0,1,0,3,4,0.0
120072,2007,46381,500.0,89192349.0,3,1,0,3,4,4745.0
120072,2008,49964,500.0,94272090.0,1,1,0,3,4,4645.0
120072,2009,54474,500.0,99042605.0,4,1,0,3,4,14462.64
120072,2010,51736,500.0,107783629.0,3,1,0,3,4,11780.37
120073,2009,31714,50000.0,137887431.0,21,1,0,3,4,446736.39
120073,2010,34010,50000.0,242932380.0,39,1,0,3,4,69943.8
120074,2006,31375,500.0,45470231.0,3,0,0,3,4,17536.95
120074,2007,29695,500.0,47135556.0,4,0,0,3,4,13169.27
120074,2008,31590,500.0,50142349.0,1,0,0,3,4,3726.07
120074,2009,32939,500.0,52285534.0,2,0,0,3,4,627427.27
120074,2010,28212,500.0,50378029.0,3,0,0,3,4,10489.87
120076,2006,16869,500.0,22794543.0,5,0,0,3,4,16412.96
120076,2007,16373,500.0,24437415.0,7,0,0,3,4,113324.1
120076,2008,16460,500.0,25718457.0,1,0,0,3,4,4315.02
120076,2009,17264,500.0,26975507.0,2,0,0,3,4,1772.83
120076,2010,16097,500.0,28744859.0,4,0,0,3,4,13789.93
120077,2006,42304,500.0,62212044.0,2,1,0,3,4,8838.42
120077,2007,40775,500.0,66844403.0,0,1,0,3,4,0.0
120077,2008,42343,500.0,70570627.0,1,1,0,3,4,4335.33
120077,2009,42359,500.0,71794512.0,2,1,0,3,4,2502.0
120077,2010,40627,500.0,76654500.0,5,1,0,3,4,16932.94
120079,2006,26418,500.0,40642917.0,3,0,0,3,4,20673.35
120079,2007,25249,500.0,42796034.0,2,0,0,3,4,7190.0
120079,2008,25657,500.0,45815034.0,1,0,0,3,4,1848.63
120079,2009,26535,500.0,48246328.0,4,0,0,3,4,6557.96
120079,2010,26068,500.0,51114523.0,6,0,0,3,4,112697.76
120082,2006,5436,10000.0,18117461.0,0,0,0,3,4,0.0
120082,2007,5328,10000.0,19026776.0,0,0,0,3,4,0.0
120082,2008,6361,10000.0,19876713.0,0,0,1,3,4,0.0
120082,2009,5224,10000.0,20894540.0,0,0,1,3,4,0.0
120082,2010,6291,10000.0,23296497.0,0,0,1,3,4,0.0
120083,2006,14307,500.0,16444372.0,1,1,0,3,1,6570.0
120083,2007,13317,500.0,17073340.0,3,1,0,3,1,10992.5
120083,2008,13687,500.0,18248919.0,1,1,0,3,1,1980.0
120083,2009,11622,500.0,19697296.0,2,1,0,3,1,12568.3
120083,2010,11959,500.0,18981590.0,0,1,0,3,4,0.0
120084,2006,41824,500.0,58906653.0,0,1,0,3,4,0.0
120084,2007,39712,500.0,63035621.0,0,1,0,3,4,0.0
120084,2008,39572,500.0,65954752.0,4,1,1,3,4,5753.0
120084,2009,40697,500.0,68976526.0,2,1,0,3,4,10896.01
120084,2010,44195,500.0,105228950.0,0,1,0,3,4,0.0
120086,2006,24881,1000.0,39493643.0,4,0,0,3,3,17966.2
120086,2007,25947,1000.0,42535261.0,3,0,0,3,3,15394.29
120086,2008,24808,1000.0,45104607.0,4,0,0,3,3,12828.58
120086,2009,26021,1000.0,48187110.0,5,0,0,3,4,37469.68
120086,2010,24413,1000.0,50860819.0,7,0,0,3,4,60974.97
120087,2006,44174,500.0,64962694.0,6,0,0,3,1,139880.33
120087,2007,41852,500.0,69753832.0,4,0,0,3,1,38126.27
120087,2008,46323,500.0,73528052.0,4,0,0,3,1,5273.1
120087,2009,48507,500.0,76995661.0,5,0,0,3,4,245626.57
120087,2010,45055,500.0,81918008.0,3,0,0,3,4,7125.64
120088,2006,5601,500.0,13025760.0,2,0,0,3,4,13107.48
120088,2007,5055,500.0,13660172.0,0,0,0,3,4,0.0
120088,2008,5179,500.0,14386292.0,0,0,0,3,4,0.0
120088,2009,5480,500.0,15223251.0,2,0,1,3,4,1982.83
120088,2010,5588,500.0,14704089.0,1,0,0,3,4,23546.23
120090,2009,4407,10000.0,13774205.0,0,0,0,3,1,0.0
120090,2010,6371,10000.0,27701728.0,0,0,0,3,4,0.0
120091,2006,53032,5000.0,165724060.0,3,0,0,3,1,82809.75
120091,2007,34187,5000.0,142443722.0,7,0,0,3,1,31529.78
120091,2008,36120,5000.0,150495436.0,4,0,0,3,1,22363.2
120091,2009,40305,5000.0,161220775.0,3,0,0,3,4,32258.77
120091,2010,43062,5000.0,172247261.0,2,0,0,3,4,121296.12
120092,2006,24118,500.0,33968236.0,8,0,0,3,4,18963.86
120092,2007,23345,500.0,37654143.0,3,0,0,3,4,1634.82
120092,2008,20713,2500.0,39832480.0,1,0,0,3,4,4672.08
120092,2009,20992,2500.0,40369742.0,2,0,0,3,4,6658.22
120092,2010,18123,2500.0,43147482.0,3,0,0,3,4,7728.24
120094,2006,18727,25000.0,64575846.0,0,1,0,3,4,0.0
120094,2007,18035,25000.0,69367448.0,1,1,0,3,4,7723.0
120094,2008,16091,25000.0,73139112.0,4,1,0,3,4,12711.05
120094,2009,18483,25000.0,77007997.0,1,1,0,3,4,1013.38
120094,2010,15542,25000.0,81806418.0,1,1,0,3,4,625.0
120095,2006,29964,500.0,74911433.0,6,1,0,3,4,19540.0
120095,2007,17310,15000.0,78683287.0,7,1,0,3,4,340189.29
120095,2008,19090,15000.0,83003978.0,4,1,0,3,4,24926.58
120095,2009,16789,15000.0,88359077.0,5,1,0,3,4,136982.16
120095,2010,16929,15000.0,84649403.0,2,1,0,3,4,13815.78
120097,2006,10089,25000.0,40357937.0,0,0,0,3,4,0.0
120097,2007,9523,25000.0,43286134.0,0,0,0,3,4,0.0
120097,2008,9633,25000.0,45867226.0,1,0,1,3,4,8702.06
120097,2009,10089,25000.0,48043041.0,0,0,0,3,4,0.0
120097,2010,9411,25000.0,52277824.0,5,0,0,3,4,104492.9
120099,2006,135519,5000.0,322664221.0,2,1,0,3,4,41000.57
120099,2007,125139,5000.0,347605606.0,0,1,0,3,4,0.0
120099,2008,128307,5000.0,366593677.0,8,1,0,3,4,267317.42
120099,2009,134610,5000.0,384597201.0,3,1,0,3,4,6555.27
120099,2010,134470,5000.0,448230262.0,14,1,0,3,4,142704.7
120100,2006,7364,500.0,9205614.0,3,0,0,3,4,7171.91
120100,2007,6448,1000.0,9624460.0,1,0,0,3,4,3176.05
120100,2008,6732,1000.0,10198532.0,0,0,0,3,4,0.0
120100,2009,5652,2500.0,10464862.0,2,0,0,3,4,19188.49
120100,2010,4542,2500.0,10093923.0,0,0,0,3,4,0.0
120103,2006,20996,25000.0,99981169.0,0,1,0,3,1,0.0
120103,2007,23038,25000.0,100162805.0,0,1,0,3,4,0.0
120103,2008,22346,25000.0,106407238.0,3,1,1,3,4,10445.97
120103,2009,23097,25000.0,109984411.0,0,1,0,3,4,0.0
120103,2010,19113,25000.0,112432908.0,2,1,0,3,4,68971.28
130010,2006,10780,2500.0,19961955.0,0,0,0,5,4,0.0
130010,2007,9982,2500.0,21237512.0,0,0,0,5,4,0.0
130010,2008,9399,2500.0,22378525.0,0,0,1,5,4,0.0
130010,2009,10197,2500.0,23714767.0,1,0,1,5,4,20640.0
130010,2010,12825,2500.0,34664158.0,0,0,0,5,4,0.0
130084,2006,8566,10000.0,11420812.0,0,0,0,5,4,0.0
130084,2007,8667,10000.0,12039046.0,0,0,0,5,4,0.0
130084,2008,9090,10000.0,12624931.0,0,0,1,5,4,0.0
130084,2009,8554,10000.0,13579105.0,0,0,1,5,4,0.0
130084,2010,8184,10000.0,13199546.0,1,0,1,5,4,3000.0
130099,2006,41603,500.0,75641841.0,1,0,0,5,3,7078.27
130099,2007,37499,500.0,79783847.0,1,0,0,5,3,4374.91
130099,2008,39320,500.0,83657386.0,2,0,0,5,3,5889.95
130099,2009,35700,500.0,87071447.0,3,0,0,5,3,6874.71
130099,2010,34391,500.0,83880215.0,3,0,0,5,4,97578.81
130170,2006,25774,5000.0,61367550.0,1,1,0,5,4,22799.41
130170,2007,26703,5000.0,65131623.0,2,1,0,5,4,19144.0
130170,2008,26783,5000.0,68674648.0,0,1,0,5,4,0.0
130170,2009,24895,5000.0,73218752.0,1,1,0,5,4,7717.21
130170,2010,23341,5000.0,70732463.0,0,1,0,5,4,0.0
130196,2006,8908,500.0,14366107.0,0,0,0,5,4,0.0
130196,2007,8276,500.0,15326604.0,1,0,0,5,4,933.93
130196,2008,8583,500.0,16192079.0,0,0,0,5,4,0.0
130196,2009,9007,500.0,16992864.0,0,0,0,5,4,0.0
130196,2010,7840,500.0,16682997.0,0,0,1,5,4,0.0
130198,2006,18891,5000.0,32017664.0,4,0,0,5,4,620.0
130198,2007,19573,5000.0,33746412.0,0,0,0,5,4,0.0
130198,2008,20568,5000.0,35462336.0,0,0,0,5,4,0.0
130198,2009,19072,5000.0,38144840.0,0,0,1,5,4,0.0
130198,2010,19190,5000.0,36903325.0,0,0,1,5,4,0.0
130232,2006,32951,500.0,52303075.0,4,1,0,5,1,9888.5
130232,2007,35275,500.0,55117914.0,0,1,0,5,1,0.0
130232,2008,36438,500.0,56934403.0,0,1,0,5,4,0.0
130232,2009,35409,500.0,65572196.0,1,1,1,5,4,606.0
130232,2010,34840,500.0,63346186.0,0,1,0,5,4,0.0
130245,2006,16499,1000.0,24262935.0,2,0,0,5,1,87748.65
130245,2007,10956,1000.0,16352297.0,0,0,0,5,1,0.0
130245,2008,9258,1000.0,17144302.0,0,0,0,5,1,0.0
130245,2009,9862,1000.0,21916345.0,0,0,1,5,1,0.0
130245,2010,11502,1000.0,21299857.0,0,0,1,5,1,0.0
130427,2006,5338,500.0,11121041.0,0,0,0,5,1,0.0
130427,2007,5740,500.0,11715150.0,0,0,0,5,1,0.0
130427,2008,6017,500.0,12278590.0,1,0,1,5,1,4555.8
130427,2009,4695,1000.0,13037855.0,0,0,0,5,1,0.0
130427,2010,4563,1000.0,12678063.0,0,0,0,5,1,0.0
130431,2006,26241,10000.0,67285581.0,0,1,0,5,4,0.0
130431,2007,25066,10000.0,71619970.0,0,1,0,5,4,0.0
130431,2008,25616,10000.0,75342823.0,0,1,1,5,4,0.0
130431,2009,26402,10000.0,80005229.0,0,1,1,5,4,0.0
130431,2010,21521,10000.0,76862865.0,0,1,1,5,4,0.0
130474,2006,14742,500.0,15683278.0,2,0,0,5,2,11935.66
130474,2007,14288,500.0,16613659.0,4,0,0,5,2,25988.06
130474,2008,14383,500.0,17539451.0,2,0,0,5,2,8152.52
130474,2009,14778,500.0,18021379.0,1,0,0,5,2,500.0
130474,2010,13054,500.0,17405088.0,1,0,0,5,2,1950.0
130476,2006,29663,500.0,47084703.0,3,0,0,5,3,2277.7
130476,2007,23506,2500.0,51101358.0,0,0,0,5,3,0.0
130476,2008,24813,2500.0,53943252.0,0,0,0,5,3,0.0
130476,2009,28031,2500.0,57206663.0,1,0,1,5,3,5582.88
130476,2010,25274,2500.0,61642992.0,1,0,0,5,4,3140.0
130490,2006,9977,500.0,15588709.0,1,0,0,5,2,30911.0
130490,2007,9459,500.0,16595682.0,2,0,0,5,2,8048.95
130490,2008,9446,500.0,17491834.0,0,0,0,5,2,0.0
130490,2009,10075,500.0,18657722.0,2,0,0,5,2,14761.26
130490,2010,8832,500.0,18024994.0,1,0,0,5,2,3397.85
130616,2006,6797,1000.0,9996766.0,1,0,0,5,4,7770.35
130616,2007,6420,1000.0,10700900.0,0,0,0,5,4,0.0
130616,2008,6900,1000.0,11312062.0,0,0,0,5,4,0.0
130616,2009,7169,1000.0,11949085.0,0,0,1,5,4,0.0
130616,2010,5684,1000.0,11600796.0,1,0,1,5,4,3351.7
130637,2006,20681,5000.0,30867630.0,0,1,0,5,4,0.0
130637,2007,18158,5000.0,32424387.0,0,1,0,5,4,0.0
130637,2008,18451,5000.0,34170108.0,0,1,1,5,4,0.0
130637,2009,16736,5000.0,36384657.0,0,1,1,5,4,0.0
130637,2010,16238,5000.0,35302277.0,0,1,1,5,4,0.0
130658,2006,39009,500.0,48761224.0,0,0,0,5,4,0.0
